Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
1981-05-08,0.09573335945606232,0.09616071607012167,0.09573335945606232,0.09573335945606232,7907200
1981-05-11,0.09359659999608994,0.0940239509336375,0.09359659999608994,0.0940239509336375,11939200
1981-05-12,0.09359659999608994,0.09487865851488587,0.09359659999608994,0.09359659999608994,4256000
1981-05-13,0.09316928684711456,0.09445135167057708,0.09316928684711456,0.09359664369032072,4905600
1981-05-14,0.0918872058391571,0.09274191361579306,0.0918872058391571,0.09274191361579306,4928000
1981-05-15,0.09402395039796829,0.09530601461561339,0.09402395039796829,0.09402395039796829,4905600
1981-05-18,0.09573335945606232,0.09658806127187525,0.09573335945606232,0.09573335945606232,4166400
1981-05-19,0.09402395039796829,0.0944513070392344,0.09402395039796829,0.0944513070392344,25424000
1981-05-20,0.09701546281576157,0.09787017643971548,0.09701546281576158,0.09701546281576158,13283200
1981-05-21,0.10257180035114288,0.10299915703226013,0.10257180035114288,0.10257180035114288,32211200
1981-05-22,0.10727273672819138,0.10812745046587585,0.10727273672819136,0.10727273672819136,31427200
1981-05-26,0.10684533417224884,0.10727267940040015,0.10684533417224884,0.10727267940040015,85344000
1981-05-27,0.11282838135957718,0.11325573837831042,0.11282838135957718,0.11282838135957718,149497600
1981-05-28,0.11282838135957718,0.11325573837831042,0.11282838135957718,0.11282838135957718,73987200
1981-05-29,0.11325564980506897,0.1136837711141941,0.11325564980506897,0.11325564980506897,59382400
1981-06-01,0.11325564980506897,0.1136837711141941,0.11325564980506897,0.11325564980506897,51251200
1981-06-02,0.10770004987716675,0.10812740657252738,0.10770004987716675,0.10812740657252738,40432000
1981-06-03,0.10770004987716675,0.10855475185558008,0.10770004987716675,0.10770004987716675,39446400
1981-06-04,0.10983683168888092,0.11026417700985741,0.10983683168888092,0.10983683168888092,56067200
1981-06-05,0.1081274151802063,0.1085547604972786,0.1081274151802063,0.1085547604972786,57680000
1981-06-08,0.1042812317609787,0.10470858850806611,0.1042812317609787,0.10470858850806611,93497600
1981-06-09,0.10641799867153168,0.10684535539688308,0.10641799867153168,0.10641799867153168,119593600
1981-06-10,0.10770004987716675,0.10898210855094072,0.10770004987716675,0.10770004987716675,25222400
1981-06-11,0.11240092664957047,0.11282828329687426,0.11240092664957047,0.11240092664957047,38976000
1981-06-12,0.11111892759799957,0.1115462844740524,0.11111892759799959,0.1115462844740524,25804800
1981-06-15,0.11069151014089584,0.11111886678305798,0.11069151014089586,0.11111886678305798,143763200
1981-06-16,0.10855475813150406,0.10898211485157165,0.10855475813150406,0.10898211485157165,37251200
1981-06-17,0.10684533417224884,0.10727267940040015,0.10684533417224884,0.10727267940040015,27574400
1981-06-18,0.10641799867153168,0.10727270070992577,0.10641799867153168,0.10684535539688308,23049600
1981-06-19,0.1034265011548996,0.10385384637181924,0.1034265011548996,0.10385384637181924,27507200
1981-06-22,0.0995795726776123,0.10000691799317477,0.09957957267761232,0.10000691799317477,10841600
1981-06-23,0.10128896683454514,0.10214443332241652,0.10128896683454514,0.10128896683454514,15030400
1981-06-24,0.09872487932443619,0.09957959295421728,0.09872487932443619,0.09957959295421728,23027200
1981-06-25,0.10086164623498917,0.10128900302550989,0.10086164623498917,0.10086164623498917,24259200
1981-06-26,0.0995795726776123,0.10043427472104602,0.09957957267761232,0.10043427472104602,23788800
1981-06-29,0.09616076201200485,0.09701546423616136,0.09616076201200485,0.09701546423616136,10595200
1981-06-30,0.08889493346214294,0.08932228436431082,0.08889493346214294,0.08932228436431082,35907200
1981-07-01,0.08804022520780563,0.08846757610636284,0.08804022520780563,0.08846757610636284,170464000
1981-07-02,0.08804022520780563,0.08846757610636284,0.08804022520780563,0.08804022520780563,30284800
1981-07-06,0.08504877239465714,0.08590348016224299,0.08504877239465714,0.08590348016224299,16531200
1981-07-07,0.08590346574783325,0.08675817337200106,0.08590346574783325,0.08590346574783325,15836800
1981-07-08,0.0893222764134407,0.08975039760812903,0.0893222764134407,0.0893222764134407,16620800
1981-07-09,0.0824846625328064,0.08291201360359562,0.0824846625328064,0.08291201360359562,32883200
1981-07-10,0.07607361674308777,0.07650096798547303,0.07607361674308777,0.07650096798547303,55171200
1981-07-13,0.0777837485074997,0.07821110518549576,0.0777837485074997,0.0777837485074997,45740800
1981-07-14,0.08120255917310715,0.08205726661313047,0.08120255917310715,0.08120255917310715,19779200
1981-07-15,0.08333934098482132,0.08376669190487397,0.08333934098482132,0.08333934098482132,10953600
1981-07-16,0.0854761004447937,0.08633080792553016,0.0854761004447937,0.0854761004447937,15232000
1981-07-17,0.08846757560968399,0.08889493221199467,0.08846757560968399,0.08846757560968399,19824000
1981-07-20,0.0824846625328064,0.08291201360359562,0.0824846625328064,0.08291201360359562,23654400
1981-07-21,0.08205728977918625,0.08248464647292356,0.08205728977918625,0.08248464647292356,31942400
1981-07-22,0.07735564559698105,0.07821112378097246,0.07735564559698105,0.07821112378097246,22668800
1981-07-23,0.07949317991733551,0.07992053668194009,0.07949317991733551,0.07949317991733551,34451200
1981-07-24,0.08205728977918625,0.08248464647292356,0.08205728977918625,0.08205728977918625,28851200
1981-07-27,0.0854761004447937,0.08590345133208563,0.0854761004447937,0.0854761004447937,17337600
1981-07-28,0.0824846625328064,0.08291201360359562,0.0824846625328064,0.08291201360359562,22848000
1981-07-29,0.08120255917310715,0.08162991574619498,0.08120255917310715,0.08162991574619498,15500800
1981-07-30,0.08419408649206161,0.08504879448161295,0.08419408649206161,0.08419408649206161,9900800
1981-07-31,0.0854761004447937,0.08590345133208563,0.0854761004447937,0.0854761004447937,10953600
1981-08-03,0.08462140709161758,0.08547611471504767,0.08462140709161758,0.08547611471504767,12432000
1981-08-04,0.08590346574783325,0.08633082241299395,0.08590346574783325,0.08590346574783325,31673600
1981-08-05,0.08846757560968399,0.08889493221199467,0.08846757560968399,0.08846757560968399,17494400
1981-08-06,0.0863308385014534,0.0867581895401009,0.0863308385014534,0.0867581895401009,10528000
1981-08-07,0.0863308385014534,0.0867581895401009,0.0863308385014534,0.0863308385014534,9206400
1981-08-10,0.0863308385014534,0.0863308385014534,0.0863308385014534,0.0863308385014534,0
1981-08-11,0.08376669883728027,0.08462140645427293,0.08376669883728027,0.08462140645427293,71456000
1981-08-12,0.08205728977918625,0.08248464647292356,0.08205728977918625,0.08248464647292356,26275200
1981-08-13,0.07949317991733551,0.07992053668194009,0.07949317991733551,0.07992053668194009,27484800
1981-08-14,0.07821113616228104,0.07906584415064036,0.07821113616228104,0.07906584415064036,24192000
1981-08-17,0.07564622908830643,0.07650093693229215,0.07564622908830643,0.07650093693229215,18905600
1981-08-18,0.07393678277730942,0.07479149026729368,0.07393678277730942,0.07479149026729368,17001600
1981-08-19,0.0730820968747139,0.0739368046171664,0.0730820968747139,0.0739368046171664,20675200
1981-08-20,0.07393678277730942,0.07436413937537788,0.07393678277730942,0.07393678277730942,17113600
1981-08-21,0.06880854070186615,0.06966324815655227,0.06880854070186615,0.06966324815655227,41910400
1981-08-24,0.0645342618227005,0.06496161859334053,0.0645342618227005,0.06496161859334053,23072000
1981-08-25,0.06624443084001541,0.06667178179493553,0.06624443084001541,0.06624443084001541,40700800
1981-08-26,0.06496162712574005,0.06538897824635564,0.06496162712574005,0.06538897824635564,33600000
1981-08-27,0.065388984978199,0.06581710647391271,0.065388984978199,0.065388984978199,25916800
1981-08-28,0.06880854070186615,0.069235891576133,0.06880854070186615,0.06880854070186615,38035200
1981-08-31,0.06880854070186615,0.069235891576133,0.06880854070186615,0.06880854070186615,40947200
1981-09-01,0.0730820968747139,0.07350945359901732,0.0730820968747139,0.0730820968747139,37027200
1981-09-02,0.07436417788267136,0.0747915289958783,0.07436417788267136,0.07436417788267136,19376000
1981-09-03,0.07051799446344376,0.07137270238903505,0.07051799446344376,0.07137270238903505,37475200
1981-09-04,0.06966326385736465,0.07009061482794851,0.06966326385736465,0.07009061482794851,15254400
1981-09-08,0.06752652674913406,0.06795388364651098,0.06752652674913406,0.06795388364651098,25446400
1981-09-09,0.06752652674913406,0.06795388364651098,0.06752652674913406,0.06752652674913406,30531200
1981-09-10,0.06795384734869003,0.06838119831163904,0.06795384734869003,0.06795384734869003,34809600
1981-09-11,0.06709915399551392,0.06752650504940434,0.06709915399551392,0.06752650504940434,17539200
